epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5413,1.22724,2.35475,1.5567,0.00611,0.99398,0.89989,0.59161,0.84598,2.71792,1.31046,0.00016,0.00016,0.00016
2,131.227,1.0459,1.39433,1.32812,0.95345,0.49358,0.91904,0.59056,0.99672,2.3493,1.60616,0.000333268,0.000333268,0.000333268
3,203.814,1.03821,1.1364,1.3167,0.821,0.77363,0.86777,0.49354,1.24776,2.11661,1.81437,0.000499408,0.000499408,0.000499408
4,282.114,1.02623,1.14459,1.28788,0.87688,0.80723,0.9033,0.59922,1.04615,1.79365,1.67386,0.00065842,0.00065842,0.00065842
5,368.369,1.00867,1.06986,1.24362,0.68098,0.62048,0.69694,0.39264,1.46051,2.1207,2.35572,0.000810304,0.000810304,0.000810304
6,455.75,1.02328,1.05366,1.25402,0.70244,0.6747,0.70283,0.40461,1.46523,1.96689,2.05116,0.00095506,0.00095506,0.00095506
7,554.153,0.97747,0.97196,1.25284,0.78429,0.74469,0.8307,0.48595,1.28543,1.72819,1.94303,0.00109269,0.00109269,0.00109269
8,646.31,0.96232,0.95812,1.25275,0.83015,0.61446,0.77325,0.42652,1.5029,2.00353,2.23373,0.00122319,0.00122319,0.00122319
9,703.8,1.03129,0.97392,1.32916,0.84036,0.69277,0.83218,0.47236,1.42033,1.73243,2.09195,0.00134656,0.00134656,0.00134656
10,788.569,1.03023,1.02814,1.28645,0.77133,0.77108,0.81852,0.48352,1.35791,1.60214,2.12577,0.0014628,0.0014628,0.0014628
11,879.317,1.02839,0.98466,1.34031,0.80534,0.77263,0.84712,0.55712,1.12474,1.47544,1.75956,0.00157192,0.00157192,0.00157192
12,971.255,1.08955,1.02696,1.33412,0.79514,0.73494,0.81007,0.4998,1.29197,1.63099,1.93006,0.0015644,0.0015644,0.0015644
13,1061.16,1.08862,1.01237,1.3109,0.61883,0.74096,0.63575,0.35095,1.31905,1.88896,1.91565,0.0015248,0.0015248,0.0015248
14,1151.12,1.01157,0.97894,1.30619,0.71501,0.75301,0.77249,0.44578,1.4193,1.79081,2.03554,0.0014852,0.0014852,0.0014852
15,1233.14,1.06772,1.02202,1.33582,0.80315,0.63253,0.76026,0.4785,1.33542,1.58854,1.96148,0.0014456,0.0014456,0.0014456
16,1292.28,0.99677,0.88142,1.26156,0.78932,0.72221,0.77844,0.48728,1.3431,1.46718,1.92691,0.001406,0.001406,0.001406
17,1344.24,0.97249,0.84091,1.24851,0.73222,0.75904,0.76889,0.37888,1.70026,1.63936,3.16179,0.0013664,0.0013664,0.0013664
18,1396.92,1.00315,0.82271,1.28627,0.81145,0.86145,0.89082,0.57409,1.21481,1.37966,1.82547,0.0013268,0.0013268,0.0013268
19,1445.75,0.94217,0.82258,1.24756,0.78568,0.66254,0.79539,0.48494,1.3135,1.53914,1.87336,0.0012872,0.0012872,0.0012872
20,1496.04,1.02509,0.87523,1.30277,0.87353,0.73494,0.85773,0.53128,1.26493,1.29565,1.86814,0.0012476,0.0012476,0.0012476
21,1799.42,0.95746,0.8011,1.25667,0.84008,0.8544,0.90367,0.61003,1.11625,1.03425,1.64911,0.001208,0.001208,0.001208
22,1848,0.9473,0.82732,1.26922,0.87721,0.81928,0.88816,0.59699,1.12127,1.06795,1.62671,0.0011684,0.0011684,0.0011684
23,1895.1,0.95504,0.76923,1.24252,0.82357,0.87173,0.90991,0.57755,1.21496,1.17211,1.71213,0.0011288,0.0011288,0.0011288
24,1941.15,0.9033,0.71699,1.19733,0.84204,0.87952,0.91765,0.57771,1.19166,1.07929,1.69976,0.0010892,0.0010892,0.0010892
25,15224.5,0.91225,0.76013,1.22848,0.89231,0.83735,0.91483,0.6202,1.12753,1.05606,1.66442,0.0010496,0.0010496,0.0010496
26,15277,0.95854,0.74545,1.2181,0.91509,0.85542,0.93056,0.64738,1.07531,0.94529,1.58175,0.00101,0.00101,0.00101
27,15328.9,0.8911,0.72773,1.20131,0.83469,0.86145,0.9001,0.58744,1.1346,1.03397,1.61677,0.0009704,0.0009704,0.0009704
28,15377.7,0.82304,0.66556,1.17752,0.87063,0.92169,0.93408,0.63772,1.03807,0.89811,1.55501,0.0009308,0.0009308,0.0009308
29,15471.6,0.90101,0.7013,1.21465,0.90105,0.93976,0.95363,0.66704,0.99198,0.83947,1.47661,0.0008912,0.0008912,0.0008912
30,15507.2,0.86001,0.68298,1.20313,0.90625,0.93176,0.96412,0.67524,1.03501,0.82874,1.54355,0.0008516,0.0008516,0.0008516
31,15545.4,0.92977,0.73452,1.24091,0.89471,0.93976,0.96076,0.66302,1.04631,0.8495,1.54264,0.000812,0.000812,0.000812
32,15579.8,0.91654,0.67985,1.21421,0.92243,0.90361,0.95609,0.68825,0.98623,0.8247,1.4786,0.0007724,0.0007724,0.0007724
33,15618.8,0.85982,0.70016,1.20835,0.92045,0.90964,0.94263,0.67934,1.03256,0.80813,1.50396,0.0007328,0.0007328,0.0007328
34,15746,0.84626,0.63259,1.18473,0.91931,0.86747,0.93361,0.67372,1.03339,0.82878,1.50469,0.0006932,0.0006932,0.0006932
35,15794.8,0.87784,0.65717,1.22205,0.94148,0.87219,0.92632,0.66648,1.05423,0.8298,1.52487,0.0006536,0.0006536,0.0006536
36,15839.2,0.85954,0.64308,1.16203,0.93733,0.93373,0.96226,0.68595,0.9802,0.78993,1.46035,0.000614,0.000614,0.000614
37,15885.3,0.89297,0.64707,1.22486,0.91125,0.93373,0.96811,0.67932,1.02571,0.80397,1.51605,0.0005744,0.0005744,0.0005744
38,15983.1,0.8057,0.59626,1.12074,0.96711,0.90361,0.966,0.67393,1.09266,0.80545,1.58486,0.0005348,0.0005348,0.0005348
39,16032.8,0.82568,0.59083,1.1913,0.96809,0.91372,0.96608,0.69353,1.00384,0.76607,1.49268,0.0004952,0.0004952,0.0004952
40,16073.8,0.81078,0.60648,1.13955,0.97142,0.87952,0.95822,0.66677,1.05672,0.78371,1.56992,0.0004556,0.0004556,0.0004556
41,16118.4,0.77565,0.73304,1.21229,0.91402,0.89157,0.92736,0.62495,1.14993,0.93512,1.65793,0.000416,0.000416,0.000416
42,16165.6,0.6939,0.61886,1.16253,0.93589,0.87947,0.89411,0.5886,1.1696,1.06369,1.65569,0.0003764,0.0003764,0.0003764
43,16661,0.7062,0.64173,1.16094,0.92493,0.87349,0.91249,0.6326,1.06051,0.99888,1.54017,0.0003368,0.0003368,0.0003368
44,16707.3,0.65319,0.57681,1.10473,0.92805,0.90964,0.9364,0.69818,0.94603,0.81504,1.45644,0.0002972,0.0002972,0.0002972
45,16759.3,0.65167,0.52699,1.11344,0.95612,0.92169,0.94165,0.71095,0.91881,0.78317,1.4222,0.0002576,0.0002576,0.0002576
46,16808.4,0.63141,0.52817,1.10881,0.95995,0.92771,0.94645,0.71296,0.92098,0.76772,1.41472,0.000218,0.000218,0.000218
47,16855.3,0.63964,0.51827,1.12071,0.96774,0.90368,0.94912,0.71372,0.92969,0.75234,1.41617,0.0001784,0.0001784,0.0001784
48,16900.7,0.62842,0.56947,1.13131,0.96223,0.92072,0.95615,0.71449,0.92163,0.71993,1.40253,0.0001388,0.0001388,0.0001388
49,16951.2,0.65087,0.55822,1.14077,0.96831,0.92032,0.95497,0.70967,0.92099,0.7177,1.39822,9.92e-05,9.92e-05,9.92e-05
50,17002.1,0.65125,0.58906,1.14498,0.96583,0.92169,0.95458,0.70914,0.9224,0.71045,1.39695,5.96e-05,5.96e-05,5.96e-05
