epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.604,1.14044,2.60279,1.48122,0.92591,0.8436,0.92018,0.64262,1.09855,1.84181,1.52319,0.000462324,0.000462324,0.000462324
2,322.082,1.04581,1.35957,1.3291,0.8822,0.891,0.95226,0.6877,1.04881,2.16238,1.44807,0.000920071,0.000920071,0.000920071
3,533.319,1.03566,1.18963,1.27279,0.84103,0.90047,0.88904,0.57069,1.25526,1.91205,1.7068,0.00135896,0.00135896,0.00135896
4,737.721,1.06343,1.11688,1.27366,0.87794,0.91943,0.9379,0.65653,1.06241,1.38136,1.51624,0.00134412,0.00134412,0.00134412
5,1406.47,0.98323,0.99204,1.23649,0.88281,0.88152,0.92473,0.63281,1.13606,1.28998,1.56536,0.00131582,0.00131582,0.00131582
6,1601.63,1.00829,0.93226,1.23442,0.94135,0.91283,0.95099,0.6581,1.11712,1.12079,1.5641,0.00128753,0.00128753,0.00128753
7,1774.48,0.94848,0.81946,1.21976,0.91657,0.93717,0.95177,0.66099,1.04376,1.0083,1.47622,0.00125923,0.00125923,0.00125923
8,1957.64,0.97434,0.83111,1.21901,0.94674,0.891,0.96528,0.68106,1.10305,1.03215,1.44994,0.00123094,0.00123094,0.00123094
9,2207.5,0.94269,0.78007,1.20034,0.89513,0.90047,0.94375,0.69314,1.03906,0.95857,1.44079,0.00120265,0.00120265,0.00120265
10,2411.03,0.91775,0.76619,1.17522,0.86554,0.891,0.91943,0.66541,1.03854,0.96211,1.43628,0.00117435,0.00117435,0.00117435
11,2659.34,0.87476,0.69889,1.16374,0.93153,0.90265,0.95128,0.69147,1.02698,0.82117,1.45258,0.00114606,0.00114606,0.00114606
12,2901.89,0.89836,0.71358,1.17449,0.90349,0.88626,0.9297,0.66945,1.06813,0.8218,1.45095,0.00111776,0.00111776,0.00111776
13,3104.42,0.86909,0.67338,1.1581,0.92841,0.9219,0.95312,0.68684,1.04381,0.81725,1.44706,0.00108947,0.00108947,0.00108947
14,3287.24,0.87938,0.65711,1.15481,0.94385,0.92417,0.95359,0.6922,1.01212,0.75512,1.46419,0.00106118,0.00106118,0.00106118
15,3528.81,0.84322,0.6374,1.15631,0.9607,0.91943,0.95961,0.68126,1.05687,0.7607,1.43581,0.00103288,0.00103288,0.00103288
16,3762.8,0.84603,0.62874,1.14594,0.8949,0.92814,0.95693,0.6938,0.994,0.78464,1.38644,0.00100459,0.00100459,0.00100459
17,3998.59,0.87705,0.63877,1.16571,0.93048,0.95157,0.95699,0.70082,1.03128,0.71392,1.44383,0.000976293,0.000976293,0.000976293
18,4198.27,0.85808,0.6195,1.15962,0.91264,0.94066,0.95413,0.70878,0.96224,0.72153,1.38881,0.000947999,0.000947999,0.000947999
19,4431.98,0.84487,0.6028,1.14074,0.95662,0.90995,0.95564,0.69786,1.07055,0.68225,1.46442,0.000919704,0.000919704,0.000919704
20,4697.41,0.82159,0.59326,1.13581,0.93174,0.90572,0.95359,0.69794,1.02753,0.69055,1.44728,0.00089141,0.00089141,0.00089141
21,5163.53,0.81102,0.58342,1.12758,0.94577,0.90927,0.95642,0.70861,1.03093,0.69347,1.4442,0.000863116,0.000863116,0.000863116
22,5291.37,0.81119,0.57786,1.11978,0.94181,0.92051,0.95076,0.7073,0.95919,0.65546,1.35949,0.000834822,0.000834822,0.000834822
23,6441.64,0.80498,0.5528,1.12326,0.94113,0.92891,0.95927,0.71638,0.9907,0.64983,1.40343,0.000806528,0.000806528,0.000806528
24,6551.3,0.81958,0.57554,1.13307,0.95139,0.92762,0.96401,0.72781,0.9371,0.6517,1.36369,0.000778233,0.000778233,0.000778233
25,6964.29,0.80042,0.54488,1.12679,0.92375,0.9187,0.95701,0.71746,0.98627,0.65999,1.38341,0.000749939,0.000749939,0.000749939
26,7061.18,0.79052,0.53526,1.10328,0.92376,0.94787,0.95966,0.71625,1.00111,0.63425,1.41405,0.000721645,0.000721645,0.000721645
27,8041.05,0.80168,0.54043,1.11759,0.94576,0.90896,0.95576,0.71724,0.99503,0.6171,1.38269,0.000693351,0.000693351,0.000693351
28,8267.06,0.79502,0.52343,1.11071,0.95344,0.94787,0.96962,0.71313,1.01475,0.59537,1.38905,0.000665057,0.000665057,0.000665057
29,8456.79,0.76627,0.51224,1.09792,0.94714,0.93402,0.96845,0.71446,1.05672,0.59443,1.41774,0.000636762,0.000636762,0.000636762
30,8673.87,0.74445,0.49313,1.09172,0.94724,0.95735,0.96922,0.70816,1.01118,0.59129,1.40726,0.000608468,0.000608468,0.000608468
31,8821.91,0.74022,0.48889,1.08463,0.9514,0.92784,0.9671,0.7182,1.0105,0.57956,1.39031,0.000580174,0.000580174,0.000580174
32,8950.71,0.72792,0.48642,1.08415,0.93948,0.93839,0.95919,0.7088,1.01988,0.59626,1.41588,0.00055188,0.00055188,0.00055188
33,9116.79,0.73558,0.48569,1.09122,0.93845,0.93939,0.95978,0.71856,1.00556,0.57876,1.38965,0.000523586,0.000523586,0.000523586
34,9649.18,0.74882,0.4902,1.08537,0.9382,0.91469,0.96007,0.71193,1.0034,0.56978,1.39583,0.000495291,0.000495291,0.000495291
35,9772.75,0.72412,0.47656,1.08837,0.92032,0.93839,0.96574,0.72281,0.98763,0.56668,1.4072,0.000466997,0.000466997,0.000466997
36,9983.25,0.72949,0.47792,1.07202,0.91651,0.95261,0.9608,0.71514,1.00342,0.56214,1.43275,0.000438703,0.000438703,0.000438703
37,10693.1,0.69421,0.45628,1.07375,0.94989,0.91943,0.95457,0.72653,1.00689,0.55268,1.43084,0.000410409,0.000410409,0.000410409
38,10812.6,0.69915,0.44986,1.067,0.94081,0.93365,0.95328,0.72283,1.03115,0.56425,1.43703,0.000382115,0.000382115,0.000382115
39,11203,0.71076,0.4518,1.07254,0.94299,0.94066,0.96368,0.7246,1.0226,0.55302,1.43425,0.00035382,0.00035382,0.00035382
40,11394.9,0.69866,0.45631,1.06596,0.94363,0.95212,0.95984,0.72057,1.01188,0.54216,1.4366,0.000325526,0.000325526,0.000325526
41,12023.9,0.56826,0.40605,1.02654,0.97931,0.89728,0.96198,0.71727,0.97756,0.56107,1.4244,0.000297232,0.000297232,0.000297232
42,12207.4,0.55037,0.39349,1.03144,0.93805,0.92891,0.95928,0.72383,0.97715,0.54158,1.43286,0.000268938,0.000268938,0.000268938
43,12393.3,0.54711,0.38639,1.02893,0.93508,0.95735,0.95709,0.72372,0.97647,0.53138,1.44002,0.000240644,0.000240644,0.000240644
44,12525.1,0.54323,0.37846,1.02269,0.93462,0.94847,0.95628,0.72157,0.98287,0.52998,1.42602,0.000212349,0.000212349,0.000212349
45,12728.5,0.52436,0.3666,1.00891,0.96017,0.90995,0.95346,0.72091,0.96169,0.5425,1.38891,0.000184055,0.000184055,0.000184055
46,12899.1,0.51756,0.36046,1.00352,0.93149,0.94313,0.95572,0.73154,0.97959,0.53977,1.40939,0.000155761,0.000155761,0.000155761
47,13035.8,0.52198,0.35977,1.00079,0.94178,0.92417,0.95673,0.73033,0.95656,0.52938,1.38562,0.000127467,0.000127467,0.000127467
48,13193.5,0.50287,0.34906,0.99966,0.93342,0.94313,0.96059,0.72495,0.96709,0.52623,1.41406,9.91726e-05,9.91726e-05,9.91726e-05
49,13359.2,0.49013,0.34314,0.99471,0.93319,0.94313,0.9551,0.72437,0.9742,0.5222,1.41429,7.08784e-05,7.08784e-05,7.08784e-05
50,13527.1,0.49571,0.34472,0.99029,0.93859,0.94174,0.95687,0.7256,0.97514,0.5251,1.41057,4.25842e-05,4.25842e-05,4.25842e-05
